id;user_id;potli_id;type;amount;description;created_at
0fc024a5-4a59-4585-a218-4fa262e13b74;312b498a-bf14-4917-b2a7-378b16a8f63c;;income;800.00;Pocket Money;2025-10-26 17:51:23.526983+00
d063fbe8-e2ce-4c33-b196-18afbb301fe1;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;60.00;Auto;2025-10-26 17:52:23.202485+00
abcdc65d-4c73-4f2d-9d2f-5c564d7d6141;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;75.00;notebooks;2025-10-27 09:58:33.765633+00
829881a0-c613-4d42-8c6f-96d35aa984c0;312b498a-bf14-4917-b2a7-378b16a8f63c;;income;400.00;Pocket Money;2025-10-27 10:03:31.431388+00
5b0646a6-e755-4d6e-80bd-baae13cb4680;0d1198e4-5488-4933-b21e-182e514ef3f3;;income;10000.00;Salary;2025-10-27 14:03:37.119263+00
e5221bc1-649d-4cd2-b26c-26932b297770;0d1198e4-5488-4933-b21e-182e514ef3f3;18987ed7-b654-480c-b1c1-40f16681dddf;expense;1000.00;Parents are gods;2025-10-27 14:04:10.030933+00
c80bdfa3-19a3-4d78-8482-92ce3026c936;a48430ef-925a-40de-92d0-05631c665469;;income;700000.00;;2025-10-29 11:20:00.032312+00
621af58c-0adc-4a1f-9058-423bf671cbc6;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;20.00;;2025-10-29 18:33:52.409531+00
9c7df44c-a37e-477d-adf8-d046b1e09127;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;164.00;;2025-11-02 08:07:37.111142+00
7c70e7a3-8a7a-4392-a493-5c6974a04e49;312b498a-bf14-4917-b2a7-378b16a8f63c;70207447-bba3-4e36-8a23-79aea0c9b58d;expense;15.00;;2025-11-03 14:41:19.798026+00
98bc6a9b-1aec-4d28-8f2a-5ab923b363f4;312b498a-bf14-4917-b2a7-378b16a8f63c;;income;1000.00;;2025-11-03 16:20:19.760078+00
7270b1c4-4b01-46b2-9c14-c2a29b174ba0;312b498a-bf14-4917-b2a7-378b16a8f63c;;income;700.00;;2025-11-05 07:01:24.962328+00
467f5d00-7432-4132-b6ec-dcfd0ff13511;312b498a-bf14-4917-b2a7-378b16a8f63c;70207447-bba3-4e36-8a23-79aea0c9b58d;expense;19.00;;2025-11-07 08:35:12.656196+00
c46bafae-cfca-4f24-a72f-fbb81bdaf8b2;312b498a-bf14-4917-b2a7-378b16a8f63c;1276123b-ceaf-4b81-9f7f-545760f2a002;expense;200.00;;2025-11-07 12:18:02.09197+00
b4baf14b-1294-492d-ae46-fa31736e954a;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;290.00;;2025-11-08 08:10:59.485932+00
9454c86c-707a-4176-860c-6128cb1f3b3f;312b498a-bf14-4917-b2a7-378b16a8f63c;70207447-bba3-4e36-8a23-79aea0c9b58d;expense;164.00;;2025-11-08 17:32:44.442928+00
ae8cf358-e7ff-43f6-ad2d-e60ce00a2eea;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;70.00;;2025-11-10 07:43:24.903388+00
16b0f7c5-caab-4994-b5a4-c6403b040a5e;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;200.00;;2025-11-13 11:14:21.82968+00
01348d0e-d4e9-4b9b-a103-e67662210120;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;118.00;;2025-11-17 08:23:32.541222+00
58c0a48f-533a-461e-919e-6f6a5b35cc64;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;110.00;;2025-11-17 08:27:05.019886+00
ef09902f-9ea2-4497-81b3-0f838a68c319;8daecfb4-fc8f-49b5-bd83-48ae2bf19197;;income;10000.00;;2025-11-19 09:24:29.28356+00
afe85669-377f-46b8-b4d8-e83aebe300da;312b498a-bf14-4917-b2a7-378b16a8f63c;70207447-bba3-4e36-8a23-79aea0c9b58d;expense;90.00;;2025-11-21 13:53:40.286603+00
bdb2fae9-ac80-4c4e-b77e-ec1dc77864b5;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;20.00;;2025-11-21 13:53:55.837837+00
b2b5f709-ad48-46c0-9321-3a59e7f9d75f;312b498a-bf14-4917-b2a7-378b16a8f63c;3c74c0f2-b750-4cfa-9042-38908e880a46;expense;20.00;;2025-11-21 13:54:16.012642+00
3d742d2c-bcf9-4da6-b018-390ee5cd9491;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;20.00;;2025-11-21 13:55:56.236811+00
121713f8-b801-4e72-bb0e-f7b72a15b12d;312b498a-bf14-4917-b2a7-378b16a8f63c;;income;2000.00;;2025-11-25 07:31:34.073914+00
eb00dffd-dd58-4691-b1e6-e0acaf8e53bc;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;270.00;;2025-11-26 08:18:50.483857+00
22a3db73-b914-4ce7-bddc-deff1370584f;312b498a-bf14-4917-b2a7-378b16a8f63c;c82775f2-f06a-490f-90cb-4862ee6f5bdd;expense;10.00;;2025-11-26 08:19:41.361812+00
d4f0f8b5-fc09-467e-af42-221e762606e2;312b498a-bf14-4917-b2a7-378b16a8f63c;3c74c0f2-b750-4cfa-9042-38908e880a46;expense;36.00;;2025-11-26 16:50:09.889925+00
10923748-d49a-480d-b215-9645e0c1172b;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;130.00;;2025-11-27 07:25:44.807103+00
b7c42cf3-e2ed-4671-a62b-a78491604289;312b498a-bf14-4917-b2a7-378b16a8f63c;70207447-bba3-4e36-8a23-79aea0c9b58d;expense;30.00;;2025-11-29 09:23:12.99125+00
a7f3f44c-aeff-411d-b684-3e2e48865fe6;312b498a-bf14-4917-b2a7-378b16a8f63c;70207447-bba3-4e36-8a23-79aea0c9b58d;expense;20.00;Chips;2025-11-30 10:38:26.14824+00
3e90f7a1-d31e-48c0-a70a-4296303e033a;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;30.00;Print out poster;2025-12-04 06:01:30.199406+00
14b0ce81-1ffd-4ed5-ab84-9ba85830b5e9;312b498a-bf14-4917-b2a7-378b16a8f63c;70207447-bba3-4e36-8a23-79aea0c9b58d;expense;15.00;Patty;2025-12-04 11:20:23.010199+00
c09a3e03-93f2-4d92-80b7-39a19f6b2b8b;312b498a-bf14-4917-b2a7-378b16a8f63c;70207447-bba3-4e36-8a23-79aea0c9b58d;expense;137.00;Pizza;2025-12-06 12:27:42.758748+00
36ddc032-3529-44d8-9fe4-6c0290ee3f19;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;101.00;Pizza;2025-12-06 12:28:01.766661+00
a381daf7-4791-4c9d-bdd5-ec5219d9eaf4;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;138.00;Train;2025-12-06 12:41:15.088583+00
4503c433-93c8-4e40-a2f4-15949d5825c6;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;20.00;Chips;2025-12-06 14:45:02.08095+00
0deacb48-b51a-4c43-b290-4084b59b567b;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;20.00;Chips;2025-12-10 06:53:41.1334+00
21ec91db-5e71-401c-891f-2eb6268816ec;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;51.00;Train;2025-12-11 15:05:02.237379+00
fe2e349d-54e7-4c86-8e7d-af26fd77a71f;312b498a-bf14-4917-b2a7-378b16a8f63c;c82775f2-f06a-490f-90cb-4862ee6f5bdd;expense;251.00;Self;2025-12-13 08:35:53.682651+00
26d8370a-d0da-4a9c-a705-5e0859d4c233;312b498a-bf14-4917-b2a7-378b16a8f63c;;income;1000.00;Pocket Money;2025-12-19 08:14:10.654161+00
2be199cf-c9ca-49f4-8483-0402ddd2e1d0;312b498a-bf14-4917-b2a7-378b16a8f63c;c82775f2-f06a-490f-90cb-4862ee6f5bdd;expense;166.00;Meal;2025-12-21 05:55:50.285403+00
f18d79de-85ee-4147-9551-01e0b078e69d;312b498a-bf14-4917-b2a7-378b16a8f63c;70207447-bba3-4e36-8a23-79aea0c9b58d;expense;70.00;Meal;2025-12-21 05:56:21.958492+00
68637a53-581c-4d7e-933a-a8f002b3af70;312b498a-bf14-4917-b2a7-378b16a8f63c;1276123b-ceaf-4b81-9f7f-545760f2a002;expense;20.00;Gold;2025-12-21 05:59:11.984899+00
897d97b2-427e-42c2-9916-3f15273b8994;312b498a-bf14-4917-b2a7-378b16a8f63c;1276123b-ceaf-4b81-9f7f-545760f2a002;expense;10.00;Pen;2025-12-21 11:18:50.372159+00
d5c3bfee-7f72-4b25-98f1-f2c8ddc80f3b;312b498a-bf14-4917-b2a7-378b16a8f63c;1276123b-ceaf-4b81-9f7f-545760f2a002;expense;70.00;Wrap;2025-12-21 11:19:07.551566+00
3ff900b1-aad1-4e6f-b7fa-e9aa33866fc9;312b498a-bf14-4917-b2a7-378b16a8f63c;3c74c0f2-b750-4cfa-9042-38908e880a46;expense;10.00;E rickshaw ;2025-12-26 10:35:32.944654+00
19df20ed-8938-425c-af1d-2d5aa8414e35;312b498a-bf14-4917-b2a7-378b16a8f63c;6d8ee38d-5b01-42b3-83aa-3230cd1692a9;expense;50.00;Laddu and ro;2025-12-26 10:35:55.650229+00
55a24177-e26f-4c3c-af1f-74ebce152e0c;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;20.00;Banana;2025-12-26 10:36:14.576835+00
5c43e67c-3a48-4121-86c8-019761cf5528;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;50.00;College to bypass ;2025-12-26 10:36:32.984078+00
3b04e5bb-63b1-485b-aea7-945dfd8c86e2;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;50.00;Bus fare;2025-12-26 10:36:49.580845+00
24b3fdd6-89b3-4891-9003-3ee2ff7e1d86;312b498a-bf14-4917-b2a7-378b16a8f63c;1bd073de-946e-4f14-8cc3-eb07bbd60012;expense;20.00;E rickshaw ;2025-12-26 10:37:20.401518+00
396b826c-173c-42fb-87f9-b07835afdc32;312b498a-bf14-4917-b2a7-378b16a8f63c;;income;1500.00;Pocket Money;2026-01-06 12:58:31.383822+00
